Date : 2024-05-25 14:13:38
Directory : c:\Users\lewis\code\space_men\Assets\Scripts
Total : 77 files,  3665 codes, 422 comments, 729 blanks, all 4816 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         77 |      3,665 |        422 |        729 |      4,816 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                |         77 |      3,665 |        422 |        729 |      4,816 |
| . (Files)                                                                        |          2 |         64 |          7 |         23 |         94 |
| Abilities                                                                        |         10 |        208 |          1 |         46 |        255 |
| Bin                                                                              |         11 |        955 |         99 |        142 |      1,196 |
| DataObjects                                                                      |          6 |        118 |          0 |         22 |        140 |
| EngineLayer                                                                      |         40 |      1,689 |          7 |        322 |      2,018 |
| Interfaces                                                                       |          3 |        505 |        308 |        148 |        961 |
| Objectives                                                                       |          4 |         85 |          0 |         21 |        106 |
| Util                                                                             |          1 |         41 |          0 |          5 |         46 |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                         | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\lewis\code\space_men\Assets\Scripts\Abilities\Ability.cs                | C#       |         13 |          0 |          5 |         18 |
| c:\Users\lewis\code\space_men\Assets\Scripts\Abilities\AbilityGroup.cs           | C#       |         10 |          0 |          3 |         13 |
| c:\Users\lewis\code\space_men\Assets\Scripts\Abilities\FireOrdnance.cs           | C#       |         45 |          1 |          6 |         52 |
| c:\Users\lewis\code\space_men\Assets\Scripts\Abilities\FullAuto.cs               | C#       |         25 |          0 |          6 |         31 |
| c:\Users\lewis\code\space_men\Assets\Scripts\Abilities\LayDownFire.cs            | C#       |         42 |          0 |          9 |         51 |
| c:\Users\lewis\code\space_men\Assets\Scripts\Abilities\Overwatch.cs              | C#       |         31 |          0 |          7 |         38 |
| c:\Users\lewis\code\space_men\Assets\Scripts\Abilities\ReactionAbility.cs        | C#       |          6 |          0 |          2 |          8 |
| c:\Users\lewis\code\space_men\Assets\Scripts\Abilities\Reload.cs                 | C#       |         13 |          0 |          3 |         16 |
| c:\Users\lewis\code\space_men\Assets\Scripts\Abilities\Sprint.cs                 | C#       |         14 |          0 |          3 |         17 |
| c:\Users\lewis\code\space_men\Assets\Scripts\Abilities\StandardShoot.cs          | C#       |          9 |          0 |          2 |         11 |
