"filename", "language", "Log", "JSON", "HLSL", "ShaderLab", "C#", "Markdown", "comment", "blank", "total"
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-05-25_14-13-38\details.md", "Markdown", 0, 0, 0, 0, 0, 86, 0, 6, 92
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-05-25_14-13-38\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 467, 0, 6, 473
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-05-25_14-13-38\diff.md", "Markdown", 0, 0, 0, 0, 0, 75, 0, 7, 82
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-05-25_14-13-38\results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-05-25_14-13-38\results.md", "Markdown", 0, 0, 0, 0, 0, 22, 0, 7, 29
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-05-25_14-13-54\details.md", "Markdown", 0, 0, 0, 0, 0, 440, 0, 6, 446
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-05-25_14-13-54\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 517, 0, 6, 523
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-05-25_14-13-54\diff.md", "Markdown", 0, 0, 0, 0, 0, 65, 0, 7, 72
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-05-25_14-13-54\results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-05-25_14-13-54\results.md", "Markdown", 0, 0, 0, 0, 0, 55, 0, 7, 62
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-05-27_13-43-17\details.md", "Markdown", 0, 0, 0, 0, 0, 417, 0, 6, 423
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-05-27_13-43-17\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 32, 0, 6, 38
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-05-27_13-43-17\diff.md", "Markdown", 0, 0, 0, 0, 0, 18, 0, 7, 25
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-05-27_13-43-17\results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-05-27_13-43-17\results.md", "Markdown", 0, 0, 0, 0, 0, 52, 0, 7, 59
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-05-27_14-02-43\details.md", "Markdown", 0, 0, 0, 0, 0, 148, 0, 6, 154
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-05-27_14-02-43\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 536, 0, 6, 542
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-05-27_14-02-43\diff.md", "Markdown", 0, 0, 0, 0, 0, 84, 0, 7, 91
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-05-27_14-02-43\results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-05-27_14-02-43\results.md", "Markdown", 0, 0, 0, 0, 0, 56, 0, 7, 63
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-09-24_11-18-08\details.md", "Markdown", 0, 0, 0, 0, 0, 147, 0, 6, 153
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-09-24_11-18-08\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 249, 0, 6, 255
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-09-24_11-18-08\diff.md", "Markdown", 0, 0, 0, 0, 0, 63, 0, 7, 70
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-09-24_11-18-08\results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\lewis\code\space_men\Assets\.VSCodeCounter\2024-09-24_11-18-08\results.md", "Markdown", 0, 0, 0, 0, 0, 28, 0, 7, 35
"c:\Users\lewis\code\space_men\Assets\Editor\MapEditor.cs", "C#", 0, 0, 0, 0, 240, 0, 3, 29, 272
"c:\Users\lewis\code\space_men\Assets\Editor\MapInstantiatorEditor.cs", "C#", 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\lewis\code\space_men\Assets\Packages\ComboPack\SciFiSkin\Scripts\ShowSliderValue.cs", "C#", 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\lewis\code\space_men\Assets\Packages\ComboPack\SciFiSkin\Scripts\TiltWindow.cs", "C#", 0, 0, 0, 0, 23, 0, 0, 7, 30
"c:\Users\lewis\code\space_men\Assets\Plugins\Editor\CompileTime.cs", "C#", 0, 0, 0, 0, 34, 0, 0, 5, 39
"c:\Users\lewis\code\space_men\Assets\Resources\BillingMode.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\lewis\code\space_men\Assets\Scripts\Abilities\Ability.cs", "C#", 0, 0, 0, 0, 16, 0, 0, 5, 21
